Date,CCMN_Cu,CCMN_Al
2026-07-27,105770.0,23350.0
2026-07-28,105305.0,23195.0
2026-07-29,105225.0,23400.0
2026-07-30,105615.0,23780.0
2026-07-31,106020.0,23620.0
2026-08-03,106085.0,23495.0
2026-08-04,106830.0,23715.0
2026-08-05,107165.0,23685.0
2026-08-06,108255.0,23795.0
2026-08-07,108645.0,23965.0
2026-08-10,108015.0,23980.0
2026-08-11,108595.0,24095.0
2026-08-12,108500.0,24520.0
2026-08-13,108230.0,24125.0
2026-08-14,108135.0,23865.0
2026-08-17,109855.0,24065.0
2026-08-18,108120.0,23895.0
2026-08-19,107145.0,23660.0
2026-08-20,107520.0,23595.0
2026-08-21,107825.0,23670.0
